,source,comment
0,"/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters.
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    HashMd4(param_1,param_2,0x10);
    return;
  }
  return;
}","/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters.
* NOTE: 函数名暗示生成双重哈希，但实际仅调用一次MD4。
* NOTE: param_1 和 param_2 的具体含义（如输入数据指针和输出缓冲区指针）不明确。
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    // NOTE: 调用MD4哈希函数，第三个参数0x10可能表示输出长度（16字节）。
    HashMd4(param_1,param_2,0x10);
    return;
  }
  // NOTE: 当任一输入参数为0时，函数无操作返回，这可能表示错误情况未被处理。
  return;
}"
1,"/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters values.
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    HashMd4(param_1,param_2,0x10);
  }
  return;
}","/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters values.
* NOTE: 函数假设调用者已确保 param_1 和 param_2 指向有效内存，且 param_2 缓冲区大小至少为 0x10 字节。
* NOTE: 参数 param_1 可能指向密码明文输入，param_2 可能指向用于存储哈希结果的输出缓冲区。
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) { // NOTE: 仅进行非空检查，未验证指针指向的内存是否可读写。
    HashMd4(param_1,param_2,0x10); // NOTE: 调用 MD4 哈希函数，第三个参数 0x10 表示输出哈希长度为 16 字节。
  }
  return;
}"
2,"/*
* Function: hp3800_fixedpwm
* Purpose: Determines a fixed PWM value based on a condition involving a control parameter.
*/
byte hp3800_fixedpwm(undefined8 param_1,uint param_2)
{
  return ~-(param_2 < 2) & 0x16;
}","/*
* Function: hp3800_fixedpwm
* Purpose: Determines a fixed PWM value based on a condition involving a control parameter.
*/
byte hp3800_fixedpwm(undefined8 param_1,uint param_2)
{
  // NOTE: 表达式 ~-(param_2 < 2) 等价于 (param_2 < 2) ? 0xffffffff : 0，然后与0x16进行按位与。
  return ~-(param_2 < 2) & 0x16;
}"
3,"/*
* Function: hp3800_fixedpwm
* Purpose: Computes a fixed PWM value based on a condition and bitmask.
*/
byte hp3800_fixedpwm(undefined8 param_1,uint param_2)
{
  return ~-(param_2 < 2) & 0x16;
}","/*
* Function: hp3800_fixedpwm
* Purpose: Computes a fixed PWM value based on a condition and bitmask.
*/
byte hp3800_fixedpwm(undefined8 param_1,uint param_2)
{
  // NOTE: 表达式 ~-(param_2 < 2) 在 param_2 < 2 时为 ~-1 (即 0)，否则为 ~-0 (即 -1)。
  // NOTE: 与 0x16 (十进制22) 进行按位与，最终返回 0 或 22。
  return ~-(param_2 < 2) & 0x16;
}"
4,"/*
* Function: hp3800_fixedpwm
* Purpose: Determines a fixed PWM value based on input parameters and stack canary validation.
*/
undefined8 hp3800_fixedpwm(undefined8 param_1,int param_2)
{
  undefined8 uVar1;
  long in_FS_OFFSET;
  
  if (param_2 == 1) {
    uVar1 = 0;
  }
  else {
    uVar1 = 0x16;
    if (param_2 == 0) {
      uVar1 = 0;
    }
  }
  if (*(long *)(in_FS_OFFSET + 0x28) == *(long *)(in_FS_OFFSET + 0x28)) {
    return uVar1;
  }
                    
  __stack_chk_fail();
}","/*
* Function: hp3800_fixedpwm
* Purpose: Determines a fixed PWM value based on input parameters and stack canary validation.
*/
undefined8 hp3800_fixedpwm(undefined8 param_1,int param_2)
{
  undefined8 uVar1;
  long in_FS_OFFSET;
  
  if (param_2 == 1) {
    uVar1 = 0;
  }
  else {
    uVar1 = 0x16; // NOTE: 当param_2不等于1时，默认设置uVar1为0x16。
    if (param_2 == 0) {
      uVar1 = 0; // NOTE: 如果param_2等于0，则覆盖默认值，将uVar1设为0。
    }
  }
  if (*(long *)(in_FS_OFFSET + 0x28) == *(long *)(in_FS_OFFSET + 0x28)) { // NOTE: 栈保护检查，验证canary值是否被修改。
    return uVar1;
  }
                    
  __stack_chk_fail(); // NOTE: 如果栈保护检查失败，则调用栈保护失败处理函数。
}
"
5,"/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm based on two input parameters.
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    HashMd4(param_1,param_2,0x10);
    return;
  }
  return;
}","/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm based on two input parameters.
* NOTE: 函数名和参数名（param_1, param_2）含义模糊，难以理解其具体作用。
* NOTE: 函数缺少对输入参数有效性的详细检查，例如检查指针是否指向有效内存。
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  /* NOTE: 条件判断确保两个输入参数均不为零，但未说明零值代表的具体含义（如空指针）。 */
  if ((param_1 != 0) && (param_2 != 0)) {
    /* NOTE: 调用 HashMd4 函数，第三个参数 0x10 是硬编码的哈希长度，缺乏解释。 */
    HashMd4(param_1,param_2,0x10);
    return;
  }
  /* NOTE: 当任一参数为零时，函数直接返回，未执行任何操作或设置错误状态。 */
  return;
}"
6,"/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters.
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    HashMd4(param_1,param_2,0x10);
    return;
  }
  return;
}","/*
* Function: GenerateNtPasswordHashHash
* Purpose: Computes an NT password hash using MD4 algorithm from two input parameters.
* NOTE: 函数假设param_1和param_2指向有效缓冲区，但未验证其长度。
* NOTE: 常量0x10（16）表示输出哈希的长度（字节）。
*/
void GenerateNtPasswordHashHash(long param_1,long param_2)
{
  if ((param_1 != 0) && (param_2 != 0)) {
    HashMd4(param_1,param_2,0x10); // NOTE: 调用MD4哈希函数，第三个参数是输出缓冲区大小。
    return;
  }
  return; // NOTE: 当任一输入指针为空时，函数无操作直接返回。
}
"
7,"/*
* Function: ioabs_tcp_pre_select
* Purpose: Prepares TCP I/O state for polling by updating file descriptor flags and computing a readiness metric.
*/
ulong ioabs_tcp_pre_select(int *param_1,int *param_2,long param_3)

{
  uint *puVar1;
  int iVar2;
  int *piVar3;
  int iVar4;
  uint uVar5;
  
  iVar2 = *param_2;
  *param_1 = iVar2;
  *param_2 = iVar2 + 1;
  puVar1 = (uint *)(param_3 + (long)*param_1 * 8);
  piVar3 = *(int **)(param_1 + 2);
  iVar2 = piVar3[1];
  puVar1[1] = param_1[4];
  iVar4 = (*piVar3 + iVar2) - piVar3[2];
  uVar5 = *puVar1 | 5;
  if (iVar4 % iVar2 == 0) {
    uVar5 = *puVar1 | 1;
  }
  *puVar1 = uVar5;
  return (long)iVar4 / (long)iVar2 & 0xffffffff;
}","/*
* Function: ioabs_tcp_pre_select
* Purpose: Prepares TCP I/O state for polling by updating file descriptor flags and computing a readiness metric.
*/
ulong ioabs_tcp_pre_select(int *param_1,int *param_2,long param_3)

{
  uint *puVar1;
  int iVar2;
  int *piVar3;
  int iVar4;
  uint uVar5;
  
  iVar2 = *param_2;
  *param_1 = iVar2; /* NOTE: 将param_2指向的值赋给param_1指向的位置，可能用于索引计算。 */
  *param_2 = iVar2 + 1; /* NOTE: 递增param_2指向的值，可能用于下一个索引。 */
  puVar1 = (uint *)(param_3 + (long)*param_1 * 8); /* NOTE: 基于param_3基址和索引计算偏移，步长为8字节。 */
  piVar3 = *(int **)(param_1 + 2); /* NOTE: 从param_1偏移2个int位置处读取一个int指针。 */
  iVar2 = piVar3[1]; /* NOTE: 获取piVar3指向数组的第二个元素。 */
  puVar1[1] = param_1[4]; /* NOTE: 将param_1偏移4个int位置的值存储到puVar1偏移1个uint位置。 */
  iVar4 = (*piVar3 + iVar2) - piVar3[2]; /* NOTE: 计算一个差值，可能涉及缓冲区读写指针。 */
  uVar5 = *puVar1 | 5; /* NOTE: 将puVar1指向的值与5（二进制101）进行按位或操作。 */
  if (iVar4 % iVar2 == 0) { /* NOTE: 检查差值是否能被iVar2整除。注意iVar2可能为0导致除零错误。 */
    uVar5 = *puVar1 | 1; /* NOTE: 如果能整除，则改为与1（二进制001）进行按位或。 */
  }
  *puVar1 = uVar5; /* NOTE: 将计算后的标志位写回原内存位置。 */
  return (long)iVar4 / (long)iVar2 & 0xffffffff; /* NOTE: 返回iVar4除以iVar2的商，并截断为32位。存在除零风险。 */
}"
8,"/*
* Function: hp3800_fixedpwm
* Purpose: Maps a USB parameter and scan type to a predefined PWM value using a hardcoded lookup table stored in memory.
*/
undefined4 hp3800_fixedpwm(int param_1,int param_2)

{
  long in_FS_OFFSET;
  int local_4c;
  int local_40;
  undefined4 local_3c;
  undefined8 local_38;
  undefined8 local_30;
  undefined8 local_28;
  undefined8 local_20;
  long local_10;
  
  local_10 = *(long *)(in_FS_OFFSET + 0x28);
  local_30 = 0;
  local_28 = 0;
  local_20 = 0;
  local_38 = 1;
  local_3c = 0x16;
  local_40 = 0;
  do {
    if (1 < local_40) {
LAB_001000aa:
      if (*(long *)(in_FS_OFFSET + 0x28) != *(long *)(in_FS_OFFSET + 0x28)) {
                    
        __stack_chk_fail();
      }
      return local_3c;
    }
    if (param_2 == *(int *)(&local_38 + (long)local_40 * 2)) {
      if ((param_1 < 1) || (local_4c = param_1, 3 < param_1)) {
        local_4c = 1;
      }
      local_3c = *(undefined4 *)
                  ((long)&local_38 + ((long)(local_4c + -1) + (long)local_40 * 4) * 4 + 4);
      goto LAB_001000aa;
    }
    local_40 = local_40 + 1;
  } while( true );
}","/*
* Function: hp3800_fixedpwm
* Purpose: Maps a USB parameter and scan type to a predefined PWM value using a hardcoded lookup table stored in memory.
*/
undefined4 hp3800_fixedpwm(int param_1,int param_2)

{
  long in_FS_OFFSET;
  int local_4c;
  int local_40;
  undefined4 local_3c;
  undefined8 local_38;
  undefined8 local_30;
  undefined8 local_28;
  undefined8 local_20;
  long local_10;
  
  local_10 = *(long *)(in_FS_OFFSET + 0x28); /* NOTE: 栈保护金丝雀值初始化。 */
  local_30 = 0;
  local_28 = 0;
  local_20 = 0;
  local_38 = 1; /* NOTE: 硬编码查找表的起始值。 */
  local_3c = 0x16; /* NOTE: 默认返回值。 */
  local_40 = 0; /* NOTE: 循环索引，用于遍历查找表。 */
  do {
    if (1 < local_40) { /* NOTE: 检查索引是否超出硬编码表大小（2）。 */
LAB_001000aa:
      if (*(long *)(in_FS_OFFSET + 0x28) != *(long *)(in_FS_OFFSET + 0x28)) {
                    /* NOTE: 栈保护检查，但可能被goto绕过。 */
        __stack_chk_fail();
      }
      return local_3c;
    }
    if (param_2 == *(int *)(&local_38 + (long)local_40 * 2)) { /* NOTE: 比较param_2与查找表中的值。 */
      if ((param_1 < 1) || (local_4c = param_1, 3 < param_1)) { /* NOTE: 钳制param_1到范围[1,3]。 */
        local_4c = 1;
      }
      local_3c = *(undefined4 *)
                  ((long)&local_38 + ((long)(local_4c + -1) + (long)local_40 * 4) * 4 + 4); /* NOTE: 基于param_1和local_40计算偏移并获取PWM值。 */
      goto LAB_001000aa;
    }
    local_40 = local_40 + 1;
  } while( true );
}"
9,"/*
* Function: ioabs_tcp_pre_select
* Purpose: Prepares a TCP connection for polling by updating status flags in a structured buffer.
*/
ulong ioabs_tcp_pre_select(int *param_1,int *param_2,long param_3)

{
  uint *puVar1;
  int iVar2;
  int *piVar3;
  int iVar4;
  ulong uVar5;
  
  iVar2 = *param_2;
  *param_1 = iVar2;
  *param_2 = iVar2 + 1;
  *(int *)(param_3 + 4 + (long)*param_1 * 8) = param_1[4];
  puVar1 = (uint *)(param_3 + (long)*param_1 * 8);
  *puVar1 = *puVar1 | 1;
  piVar3 = *(int **)(param_1 + 2);
  iVar2 = piVar3[1];
  iVar4 = (iVar2 + *piVar3) - piVar3[2];
  uVar5 = (long)iVar4 / (long)iVar2 & 0xffffffff;
  if (iVar4 % iVar2 != 0) {
    uVar5 = (ulong)*param_1;
    puVar1 = (uint *)(param_3 + uVar5 * 8);
    *puVar1 = *puVar1 | 4;
  }
  return uVar5;
}","/*
* Function: ioabs_tcp_pre_select
* Purpose: Prepares a TCP connection for polling by updating status flags in a structured buffer.
*/
ulong ioabs_tcp_pre_select(int *param_1,int *param_2,long param_3)

{
  uint *puVar1;
  int iVar2;
  int *piVar3;
  int iVar4;
  ulong uVar5;
  
  iVar2 = *param_2;
  *param_1 = iVar2;
  *param_2 = iVar2 + 1; // NOTE: 递增 param_2 指向的值，可能用于索引或计数。
  *(int *)(param_3 + 4 + (long)*param_1 * 8) = param_1[4]; // NOTE: 将 param_1[4] 的值存入 param_3 数组的某个偏移位置。
  puVar1 = (uint *)(param_3 + (long)*param_1 * 8);
  *puVar1 = *puVar1 | 1; // NOTE: 设置 param_3 数组中某个元素的最低有效位（可能表示就绪状态）。
  piVar3 = *(int **)(param_1 + 2); // NOTE: param_1[2] 是一个指向整数数组的指针。
  iVar2 = piVar3[1]; // NOTE: 获取数组的第二个元素（可能表示缓冲区大小或块大小）。
  iVar4 = (iVar2 + *piVar3) - piVar3[2]; // NOTE: 计算某个缓冲区相关的差值（如已用空间）。
  uVar5 = (long)iVar4 / (long)iVar2 & 0xffffffff; // NOTE: 计算差值相对于块大小的整数商。
  if (iVar4 % iVar2 != 0) { // NOTE: 检查是否有余数（即缓冲区未完全填满一个块）。
    uVar5 = (ulong)*param_1;
    puVar1 = (uint *)(param_3 + uVar5 * 8);
    *puVar1 = *puVar1 | 4; // NOTE: 如果存在余数，设置 param_3 数组中对应元素的第3位（可能表示部分数据就绪）。
  }
  return uVar5; // NOTE: 返回计算出的商，或者在有余数的情况下返回原始的索引值。
}
"
